title,type,material,color,size,dimensions,weight,region,packer_name,price,description,food_preference,no_onion_garlic,shelf_life_days,flavour_variant,speciality_or_feature
"
   			Natures Gift - 100 gm Garlic Powder (Pack of 4)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",267.0,"
							Spice Combo of Garlic Powder, Ginger Powder Tomato & Onion Powder.Contains Garlic Powder: 100 GM, Ginger Powder: 100 GM Tomato Powder : 100 & Red Onion Powder: 100 GMComes in a Sprinkler Jar - Easy to use & handleEasier to handle, saves time and require no chopping or special treatmentUse in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,(Adrak/Sunth) Garlic Powder & Tomato Powder - 100 gm Each Spice Jar,GMO Free
"
   			Nature's Gift GARLIC Powder 200 gm",Powdered_spices,,,,,,India,,161.0,"
							A popular seasoning made from dried garlic flakes that have been ground into a powder.Garlic powder is often substituted if necessary for fresh garlic cloves, using 1/2 teaspoon of garlic powder to equal one fresh clove of common garlic.. It tastes sweeter and much less assertive than fresh garlic. Garlic powder is a popular ingredient in spice blends and dry rubs. It's used to season veggies and proves a welcome addition in snacks like popcorn and roasted nuts. Garlic powder can even be used to get brighter flavours in low-sodium dishes. Uses mixed with other spices and herbs to make a dry rub. Added to soups and stews. Whisked into vinaigrettes. Used as a seasoning in sauces. Added to gravies. Mixed in with bread or pasta dough. Sprinkled on pizza prior to baking. Mixed into burger when making hamburgers.",Vegetarian,,,GARLIC,No Artifical Flavours
"
   			Nature's Gift - 200 gm Beetroot Powder (Pack of 2)",Powdered_spices,,,,,,India,,389.0,"
							Beetroot Powder uses in Cosmetic: Add to beet root powder blushers and lip balms, adjusting the amount necessary to achieve the desired tint. The powder can also be added to juice or tea. Beetroot Powder is rich in antioxidants, dietary fiber, calcium, iron, potassium, folate (vitamin B9) and manganese, along with other nutrients. Beetroot Powder provides numerous health benefits, including improved blood flow, lower blood pressure and increased exercise performance. Uses: It can be added to smoothies, protein shakes, raw juices. Tint frosting or home made candy and cakes, muffins or cookies. Carrot Powder: In addition to an abundance of antioxidant beta carotene, carrot powder is rich in vitamins a, b1, b2, b3, b6, b12, c, e and k. The powder also provides several minerals, including calcium, iron, potassium, phosphorus and magnesium. The culinary uses of carrot powder are practically unlimited. Carrot powder has sweet flavour and nutrients of the vegetable in an easy-to-use form. Use it to thicken soups, combine it with flour in baking mixes or use as a natural food colouring. It is also added to natural skin care preparations. Direction to use: carrot cake, pudding, juice, stews, soup, orange food colouring, carrot soup or anything you desire some carrot flavour.The culinary uses for carrot powder are practically unlimited. The powder can be combined with flour in baking or added directly to various cooked foods or sprinkled over to salads as a flavorful and nutritious garnish.",Vegetarian,,,Beetroot Powder & Carrot Powder Combo Pack (200g Each),Natural
"
   			Natures Gift Tomato Powder & Lemon Powder - 100 gm Each / 3.5 Oz Spice Jar - Spray-Dried | Ready to Use Powder 200 gm Pack of 2",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",301.0,"
							Pure & Natural Premium Quality Spray Dried PowderContains Tomato Powder : 100gm & Lemon Powder : 100 gm.Sprinkle tomato powder over pasta, pizzas, popcorn, salad dressing and baked potatoes for a classic tomato kickLemon juice powder can be used to make lemon juice or lemonade. It's also delicious mixed with salad dressing, stews, chilli’s, and sauces.",Vegetarian,,,Powder - 100 gm Each / 3.5 Oz Spice Jar - Spray-Dried | Ready to Use,GMO Free
"
   			UPPAL SONS BAKING POWDER Powder 900 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR. AMBEDKAR NAGAR  NEW DELHI  110062,173.0,"
							A powdered compound used in baking as a leavening agent. It consists of  starch, such as cornstarch. Baking powder is added to doughs and batters, becoming activated when it is mixed with liquid and then continuing to react as it is heated.",Vegetarian,,,BAKING POWDER,No Added Salt
"
   			Natures Gift Onion Powder 250gm, Ginger Powder 200 gm, Garlic Powder 250 gm & Tomato Powder 300 gm - Ready To Cook Powder 1 kg",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",650.0,"
							Spice Combo of Garlic Powder, Ginger Powder Tomato & Onion Powder.Contains Garlic Powder: 250 GM, Ginger Powder: 200 GM Tomato Powder : 300 & White Onion Powder: 250 GM.Comes in a Sprinkler Jar - Easy to use & handleEasier to handle, saves time and require no chopping or special treatmentUse in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,"200 gm, Garlic Powder 250 gm & Tomato Powder 300 gm - Ready To Cook",GMO Free
"
   			Mirza Sahab Ground Black Pepper Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",159.0,No description available.,Vegetarian,,,,
"
   			Mirza Sahab Haleem Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",182.0,No description available.,Vegetarian,,,,
"
   			AGRI CLUB Amchur Powder 200 gm",Powdered_spices,,,,,,India,,137.0,"
							Dry mango powder is also known as an amchur powder in India, is a wonderfully aromatic spice that can be used to perk up a variety of dishes. Pale in color and with a tart yet fruity flavor, amchur (also spelled as amchoor) is an easy way to add a touch of acidity to dishes when you donâ€t have a lemon on hand. HOW IT IS MADE- Amchur is made from green mangos that are thinly sliced and left to dry in the hot sun. Then they are ground into a powder and used as a spice or tonic to aid in digestion. It is sold in Indian stores but can also be purchased online. COOKING WITH AMCHUR- Dried mango powder is a souring agent so it can be used to flavor braises, stews, soups and vegetable dishes. It is especially delicious when combined with green vegetables like okra, potatoes, stewed lentils and chutneys. It'd be a great way to add a little zing to chili and other dishes that benefit from a dash of citrus. Whatâ€s great is that this spice also tenderizes meat so you can add it to your favorite marinades. A little goes a long way so start with half a teaspoon and taste before adding more. RECIPES WITH AMCHUR- Amchur is commonly used in Northern Indian dishes such as pakoras, fried vegetable dumplings dipped in a spicy chickpea batter.",Vegetarian,,,Amchur,Gluten Free
"
   			Nutrixia Food Ginger Powder -Sunth churna- Suntha  Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,106.0,"
							Ginger Powder -Sunth churna- Suntha - Zingiber officinale",Vegetarian,,,Ginger Powder -Sunth churna- Suntha,Natural
"
   			Nutrixia Food - 100 gm Arjun Chal Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,119.0,"
							 Arjun ki Chaal Powder- Terminalia Arjuna- Arjun chal powder",Vegetarian,,,Arjun ki Chaal Powder- Terminalia Arjuna,Natural
"
   			UPPAL SONS SARSON POWDER / BLACK MUSTARD POWDER Powder 1600 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR.AMBEDKAR NAGAR  NEW DELHI 110062,607.0,"
							Mustard kernels, also known as Rai dal is mustard seeds with the skin removed, then roughly grounded. Mustard kernels are the main ingredient in making pickles. It is these kernels that give pickles the special tangy taste that makes Indian pickles famous throughout the world. Mustard kernels are the life and soul of mango pickle, without it, it would be incomplete.",Vegetarian,,,SARSON POWDER / BLACK MUSTARD POWDER,
"
   			UPPAL SONS - 900 gm Garlic Powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,217.0,"
							DEHYDRATED GARLIC POWDER",Vegetarian,,,DEHYDRATED GARLIC POWDER,
"
   			Agri Club Coriander Cumin Powder 200gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",137.0,"
							Makes any dish specialTurns any vegetable into a tasty treatHandpicked from freshest spices.Store in cool and dry place.",Vegetarian,,,Corinder Cumin Powder,
"
   			Natures Gift - 100 gm Red Onion Powder (Pack of 1)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRICE, BHAVNAGAR",117.0,"
							Premium Quality | Authentic Spice | Pure & NaturalA spice made from ground dehydrated onions is used for seasoning in cooking.Easier to handle, saves time and require no chopping or special treatment. Use in place of fresh onionsA tea spoon of onion powder is capable of providing the nutty, and slightly sweet flavor of a medium sized onion.Use in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,Red Onion Powder 3.5 Oz Spice Jar,GMO Free
"
   			AGRICLUB Coriander Powder 200 gm",Powdered_spices,,,,,,India,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner",132.0,"
							It is an annual herb in the family Apiaceae. Coriander is most likely native to the Middle East and southern Europe. Coriander is a main part of Indian cuisine. We frequently utilize coriander seeds as a spice, and coriander leaves for garnishing curries, salads, or soups.  In India, coriander is called Dhania. Sugar-coated coriander powder are used as a breath freshener in India. On the other hand, coriander powder is used as a flavoring agent on various dishes.  It has immense source of potassium, iron, vitamins A, K, and C, folic acid, magnesium, and calcium that can heal many health issues.",Vegetarian,,,Coriander,Gluten Free
"
   			Nutrixia Food SHUDH GUGGAL PODWER Powder 100 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,196.0,"
							SHUDH GUGGAL PODWER",Vegetarian,,,SHUDH GUGGAL PODWER,natural
"
   			Alco Spices - 200 gm Chole Masala (Pack of 1)",Powdered_spices,,,,,,India,"Alco Food Private Limited Hirapur, Tendua Road, Post –Tendua, Via, Tatibandh, Raipur, Chhattisgarh 492009",147.0,"
							ALCO  Chole Masala is made from all Natural ingredients using advanced technology with low grinding temperature to retain its natural flavor notes.",Vegetarian,,,Chole Masala,
"
   			Natures Gift - 100 gm Mint Powder (Pack of 2)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",192.0,"
							100% PURE PREMIUM QUALITYRich in source of vitamin, fiber, calcium, iron and proteinRICH IN VITAMINUsed in salad, soup, smoothies and juices",Vegetarian,,,& Mint Powder (Pudina Leaf Powder) - 100 gm Each,GMO Free
"
   			Alco Spices - Haldi (Turmeric) 200 gm each ( Pack of 2 )",Powdered_spices,,,,,,India,"Alco Food Private Limited Hirapur, Tendua Road, Post –Tendua, Via, Tatibandh, Raipur, Chhattisgarh 492009",112.0,"
							ALCO  Turmeric Powder is made from all Natural ingredients using advanced technology with low grinding temperature to retain its natural flavor notes.",Vegetarian,,365,Turmeric Powder,Gluten Free
"
   			UPPAL SONS JALJEERA POWDER Powder 800 gm",Powdered_spices,,,,,,India,UPPAL SONS,244.0,"
							JALJEERA POWDER",Vegetarian,,,JALJEERA POWDER,Natural
"
   			Nature's Gift - 100 gm Chicory Root Powder (Pack of 1)",Powdered_spices,,,,,,India,,134.0,"
							Chicory root is a good source of fiber, which may help improve several aspects of your digestive health. It is a good source of inulin, a type of prebiotic fiber that has been linked to increased weight loss and improved gut health.",Vegetarian,,,Chicory Root (Roasted),Natural
"
   			Tassyam - 100 gm Hing (Pack of 1)",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",260.0,"
							Tassyam latest universal STRONG HING! Hing is a strong spice  to the Indian cuisine and also extensively used in many a folk systems of medicines like Ayurveda. Hing or Asafoetida is extracted from several spices of Ferula, native to Afghanistan and its neighbouring regions and then has to be carefully processed. Our Hing is prepared using secret recipes developed and perfected by Lala Laxmi Chand Ji ""Hingwale"" in 1940. Using a blend of traditional methods and modern technologies, we create products so unique and impeccable that even we can't better them. These recipes have been handed over from generation to generation and require both hard-work and a colossal amount of passion to be perfectly effectuated.",Vegetarian,,,Organics Hingwale Strong Hing,
"
   			Nutrixia Food - 100 gm Gond Katira Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,132.0,"
							TRAGACANTH GUM (KATIRA)-Natural Gond Katira/Kathila/Tragacanth Gum Powder",Vegetarian,,,Natural Gond Katira Powder/Kathila/Tragacanth Gum Powder,Natural
"
   			Agri Club Chai Masala 100g, Herb Tea Masala 50g, Suth Powder 100gm, (Pack of 3)",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",305.0,"
							Agri Club offer a fine assortment of premium quality Spice Combo . These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices. We are well recognized as a prestigious association, engaged in importing as well exporting nutritious range of groceries. Products are processed by highly experienced experts, under complete clean and hygienic conditions and in complete observance with the established norms and rules of the industry. All these products are grown as well as processed under hygienic conditions according to the industry laid customs and instructions. The products we offer are widely praised in the market for their top quality.",Vegetarian,,,natural spices,
"
   			Mirza Sahab Dal Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",173.0,No description available.,Vegetarian,,,,
"
   			UPPAL SONS YELLOW CHILLY POWDER Powder 250 gm",Powdered_spices,,,,,,India,UPPAL SONS,202.0,"
							Made from dried yellow peppers, Yellow Chilly Powder enhances colour, texture, and piquancy to food. Use this Yellow Chilly Powder for making stuffed vegetables, dips and sauces, as well as making pickles, soups, sauces, stews and casseroles. Yellow peppers are a good source of vitamin c.",Vegetarian,,,YELLOW CHILLY POWDER,Natural
"
   			MB Herbals 227 gm Dry Ginger ( Pack of 1 )",Powdered_spices,,,,,,India,PHOENIX MEDICAMENTS PRIVATE LIMITED,152.0,No description available.,Vegetarian,,,Sunth Powder,
"
   			Nutrixia Food Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali Powder 250 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,158.0,"
							Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali - Kikar Fali (Powder)",Vegetarian,,,Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali,Natural
"
   			UPPAL SONS BAKING SODA Powder 400 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR. AMBEDKAR NAGAR  NEW DELHI 110062,93.0,"
							Baking soda is a leavening agent used in baked goods like cakes, muffins, and cookies. It's a white crystalline powder that is naturally alkaline, or basic (1). Baking soda becomes activated when it's combined with both an acidic ingredient and a liquid",Vegetarian,,,BAKING SODA,No Added Salt
"
   			Nutrixia Food Black kaunch beej powder-kavcha kala  Powder 480 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,211.0,"
							Black kaunch beej powder-kavcha kala -Kaunch kala-Mucuna Pruriens - Cowhage Seed ",Vegetarian,,,Black kaunch beej powder-kavcha kala,natural
"
   			Nature's Gift - 250 gm Curry Masala (Pack of 1)",Powdered_spices,,,,,,India,,275.0,"
							Health benefits of curry leaves: curry leaves are natural flavouring agents with a number of essential health benefits, which makes your food both healthy and tasty along with pleasing aroma. However, curry leaves are far more essentail than many people realize, and they give a number of health benefits without the side effects of other medicines. they contain various antioxidant properties and have the ability to stops diarrhea, gastrointestinal protection, antioxidant properties, anti-diabetic properties, fights cancer, lowers cholesterol levels, for hair growth, for eyesight, protects against pathogen attack, protects the liver, skin care. Curry Leaf powder is one of the common ingredients used in the kitchen. It is not only well-known for culinary usage, but also has medicinal values. . Direction to use: Curry Leaf Powder is one of the common ingredients that are used in the kitchen to cook various kinds of foods and used many Indian dishes. Used as spice masala in soups, chutneys, sauces and other recipes.",Vegetarian,,,Curry Leaves,Natural
"
   			Mirza Sahab Karahi Gosht Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",182.0,No description available.,Vegetarian,,,,
"
   			Tassyam Spray Dried Tomato Powder 200 gm",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",211.0,"
							Ground Tomato Powder",Vegetarian,,,Spray Dried Tomato,
"
   			AGRI CLUB Black Pepper Powder, Kali mirch Powder 400 gm",Powdered_spices,,,,,,India,,545.0,"
							Black pepper is produced from the still-green, unripe drupe of the pepper plant. The drupes are cooked briefly in hot water, both to clean them and to prepare them for drying. The heat ruptures cell walls in the pepper, speeding the work of browning enzymes during drying. The drupes dry in the sun or by machine for several days, during which the pepper skin around the seed shrinks and darkens into a thin, wrinkled black layer. Once dry, the spice is called black peppercorn. On some estates, the berries are separated from the stem by hand and then sun-dried without the boiling process.",Vegetarian,,,"Black Pepper Powder, Kali mirch",Gluten Free
"
   			Nutrixia Food - 100 gm Gopi Chandan Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,145.0,"
							GOPI CHANDAN Powder",Vegetarian,,,GOPI CHANDAN Powder,Natural
"
   			Nutrixia Food Khandsari / Desi Khand Powder Powder 250 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,142.0,"
							Khandsari / Desi Khand Powder",Vegetarian,,,Khandsari / Desi Khand Powder,Natural
"
   			Nature's Gift Beetroot Powder 200 gm",Powdered_spices,,,,,,India,,213.0,"
							The powder can also be added to juice or tea. Beetroot Powder is rich in antioxidants, dietary fiber, calcium, iron, potassium, folate (vitamin B9) and manganese, along with other nutrients. Beetroot Powder provides numerous health benefits Uses: It can be added to smoothies, protein shakes, raw juices. Tint frosting or home made candy and cakes, muffins or cookies.Beetroot Powder uses in Cosmetic. Add to beet root powder blushers and lip balms.",Vegetarian,,,Beetroot,Gluten Free
"
   			Keya Pure & Natural Sri Lankan Cinnamon Powder 50 gm Pack of 2",Powdered_spices,,,,,,India,,266.0,No description available.,Vegetarian,,,Pure & Natural Sri Lankan Cinnamon Powder,
"
   			UPPAL SONS - 250 gm Garlic Powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,134.0,"
							Garlic powder is a spice that is derived from dehydrated garlic and used in cooking for flavour enhancement",Vegetarian,,,DEHYDERATED GARLIC POWDER,Natural
"
   			AGRICLUB Turmeric Powder 1 kg",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",403.0,"
							Daily need products for a healthy and energetic lifeRich in fibre and protein, anti-inflammatory, packed with natural proteins, cleaned and hygienically packedCertified Organic ProductNatural & 100% Vegetarian product",Vegetarian,,,Turmeric,
"
   			Nutrixia Food BHUMI AMLA Powder-Bhui amli  Powder 100 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,132.0,"
							BHUMI AMLA Powder-Bhui amli powder - Bhui Awla / Jangli Amli / Phyllanthus Niruri ",Vegetarian,,,BHUMI AMLA Powder-Bhui amli,Natural
"
   			Mirza Sahab Kofta Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",182.0,No description available.,Vegetarian,,,,
"
   			Natures Gift Garlic Powder & Red Onion Powder - 250 GM for Cooking & Baking Powder 250 gm Pack of 2",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",261.0,"
							Spice Combo of Red Onion Powder & Garlic PowderComes in a Sprinkler Jar - Easy to use & handleEasier to handle, saves time and require no chopping or special treatmentA tea spoon of powder is capable of providing flavor to various recipes.Use in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,Garlic Powder & Red Onion Powder - 250 GM for Cooking & Baking,
"
   			Nature's Gift - 500 gm Ginger powder (Pack of 1)",Powdered_spices,,,,,,India,,417.0,"
							100% Pure & Natural Premium Quality Ginger is a popular ingredient in cooking, and especially in Asian and Indian cuisine. It can be made into a pickle or consumed as ginger tea with honey. It is used in spices and masalas for gravies, curries, marinades, stews etc. It is also used to flavour ginger breads.",Vegetarian,,,Ginger,Natural
"
   			AGRICLUB Green Chilli Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",143.0,"
							Green chilli power is easy to use, easy store, green chilli powder saves you money because of any wastages, It adds spice to the dishes you prepare, it is rich in beta carotene, Vitamin C, Takes less time in preparing your favorite dishes and high shelf life so that you can store them for future.",Vegetarian,,,Green Chilli,
"
   			Nature's Gift Red Onion Powder 500 gm",Powdered_spices,,,,,,India,,276.0,"
							Onion powder, a spice made from ground dehydrated onions is used for seasoning in cooking. Many cooks of the world prefer onion powder to fresh onions because it is easier to handle, saves time and require no chopping or special treatment. Prepared from finely ground dehydrated onions, they contain very strong smell and last for a longer duration, if properly packaged and stored. Since bulb onions contain much of the flavor and distinctive aroma of the onion, they are widely used for preparing onion powder. Onion powder is a perfect condiment for taco mix, chili, barbeque rubs, salad dressings, dips, marinades, and as an addition to hamburgers.",Vegetarian,,,Red Onion,
"
   			Natures Gift Red Onion Powder & Tomato Powder - Spray-Dried | Ready to Use - 100 Gm Each (Super Saver Combo) Powder 200 gm Pack of 2",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVMAGAR",192.0,"
							Pure & Natural Premium Quality Spray Dried PowderContains : Red Onion Powder : 100 Gm & Tomato Powder : 100 GmComes in a Sprinkler Jar - Easy to use & handleEasier to handle, saves time and require no chopping or special treatmentUse in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,Powder - Spray-Dried | Ready to Use - 100 Gm Each (Super Saver Combo),GMO Free
"
   			AGRI CLUB Turmeric Powder 500 gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",238.0,"
							Turmeric is curated from the extracts of natural turmeric roots. It is a staple ingredient in many Indian culinary recipes. It is also a potent herb in the traditional Ayurvedic medicine. 100% Natural Known to Cleanse the blood and promote healthy skin | Known to Support comfortable movement of the joint Known for Strengthen digestion and promote healthy intestinal flora Known to Support healthy blood levels that are already within the normal range",Vegetarian,,,Turmeric,
"
   			UPPAL SONS TULSI POWDER Powder 400 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR.AMBEDKAR NAGAR  NEW DELHI 110062,335.0,"
							Tulsi powder may support the respiratory function, immunity and health. Our Tulsi powder is made from the leaves of Ocimum sanctum. It has antioxidant, adaptogenic, antifungal, antiviral, antimicrobial  disinfectant properties. Tulsi is also known as the wellness herb.",Vegetarian,,,TULSI POWDER,Natural
"
   			rawmest Reetha Powder 300 gm Pack of 3",Powdered_spices,,,,,,India,4in1infotech,399.0,"
							Rawmest 100% pure and herbal Reetha Powder health, face, hair. Rawmest Reetha or soap nut, is a super fruit, rich in saponin that acts as a natural conditioner and cleanser, thoroughly cleanser and nourishes hair and scalp to get rid of oil and other impurities, regular use of Aritha impart hair a natural luster as well as prevents hair fall, controls dandruff and makes hair thick and bouncy.",Vegetarian,,,Reetha Powder,
"
   			Nature's Gift Cheddar Cheese Powder (100% Pure Off White) Powder 200 gm",Powdered_spices,,,,,,India,,297.0,"
							100% Pure & Natural Premium Quality Cheddar cheese powder makes a delicious and velvety smooth sauce for pasta, casseroles, or vegetables. It can also be sprinkled on popcorn, chips, pasta, baked potatoes, and other snacks for a cheesy kick! It can be added to pizza seasoning or any other seasoning to give extra cheesy kick. Add it on any meals for extra cheesy flavor.",Vegetarian,,,Cheddar Cheese Powder (100% Pure Off White),GMO Free
"
   			Agri Club Cinnamon Powder, Dalchini Powder 400gm",Powdered_spices,,,,,,India,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner",415.0,"
							Native to Sri Lanka, true cinnamon, Cinnamomum zeylanicum, dates back in Chinese writings to 2800 B.C. and is still known as “kwai” in the Cantonese language today. Its botanical name derives from the Hebraic and Arabic term “amomon”, meaning fragrant spice plant. Cinnamon is a highly delicious spice. It has been prized for its medicinal properties for thousands of years. It also boasts a wide range of other health benefits, including anti-inflammatory, antibacterial, antifungal and anti-diabetic properties. Cinnamon is packed with a variety of protective antioxidants that reduce free radical damage.",Vegetarian,,,"Dalchini Powder, Cinnamon",Gluten Free
"
   			Agri Club Coriander Powder, Dhaniya Powder 500gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",173.0,"
							It helps to keep diabetes and cholesterol in control.It improves the digestive system.It prevents menstrual irregularities.It helps fight cold and flu.",Vegetarian,,,Coriander Powder,
"
   			AGRI CLUB Tamarind Powder 100 gm",Powdered_spices,,,,,,India,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner",103.0,"
							These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices.",Vegetarian,,,Tamarind,Gluten Free
"
   			Agri Club Black Sesame Seed Powder 400gm",Powdered_spices,,,,,,India,SHRI HARI INDUSTRIES BIKANER,224.0,"
							Black sesame seeds are rich in nutrition and contain many minerals and vitamins. In Chinese medicine, black sesame helps to detoxify the body, regulate urinary system, nourish hair, and acts as a laxative",Vegetarian,,,Black Sesame Seed,Gluten Free
"
   			Nutrixia Food Rudravanti Phal Powder-RUDRAWANTI PHAL- CRESSA CRETICA Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,91.0,"
							Rudravanti Phal Powder-RUDRAWANTI PHAL- RUDRAVANTI PHAL - RUDANTI FAL - CRESSA CRETICA",Vegetarian,,,Rudravanti Phal Powder-RUDRAWANTI PHAL- CRESSA CRETICA,Natural
"
   			Nutrixia Food - 50 gm Guggal Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,122.0,"
							SHUDH GUGGAL PODWER",Vegetarian,,,SHUDH GUGGAL PODWER,Natural
"
   			Natures Gift Red Onion Powder 8.8 Oz Spice Jar Powder 250 gm",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",165.0,"
							Premium Quality | Authentic Spice | Pure & NaturalA spice made from ground dehydrated onions is used for seasoning in cooking.Easier to handle, saves time and require no chopping or special treatment. Use in place of fresh onionsA tea spoon of onion powder is capable of providing the nutty, and slightly sweet flavor of a medium sized onion.Use in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,Red Onion Powder 8.8 Oz Spice Jar,
"
   			Nutrixia Food Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia  Powder 100 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,132.0,"
							Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia ",Vegetarian,,,Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia,Natural
"
   			rswmest Spinach Leaf Dehydrated | Palak Powder salad Dressings/ Spinacia 150 gm",Powdered_spices,,,,,,India,4in1infotech,175.0,"
							Rawmest Spinach Powder is the concentrated, dehydrated form of spinach. The powder is rich in insoluble fiber, protein, carbohydrate, vitamins, & minerals.It’s a good source of vitamin C, K, folate, iron, and calcium.  Rawmest Spinach Powder is also a great source for many phyto-compounds such as Nitrates , Kaempferol, Lutein, Quercetin, Xeaxanthin. Rawmest Green Spinach powder: - Spinach is a leafy green vegetable. It is loaded with nutrients and antioxidants, and considered to be very healthy. There are many ways to prepare spinach. You can buy it canned or fresh, and then eat it cooked or raw. It is delicious either on its own or in other dishes. Buy it from 4in1 Infotech, Before Purchase of this product once check seller name.",Vegetarian,,,Spinach Leaf Dehydrated | Palak Powder salad Dressings/ Spinacia,No Artifical Flavours
"
   			Nutrixia Food \nBala Mool Powder- Balamul  Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,106.0,"
							Bala Mool Powder- Bala mul churna",Vegetarian,,,\nBala Mool Powder- Balamul,Natural
"
   			Agri Club Flax Seed Powder 500gm",Powdered_spices,,,,,,India,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner",302.0,No description available.,Vegetarian,,,Flax Seed,
